[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[2.053,0.072,0.187,0.   ]
[1.995,0.105,0.187,0.   ]
[1.943,0.136,0.187,0.   ]
[1.931,0.169,0.187,0.   ]
[1.918,0.202,0.187,0.   ]
[1.912,0.235,0.187,0.   ]
[1.919,0.27 ,0.187,0.   ]
[1.934,0.306,0.187,0.   ]
[1.955,0.345,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[1.354,0.388,0.187,0.   ]
[1.303,0.398,0.187,0.   ]
[1.307,0.425,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.675,0.567,0.187,0.   ]
[0.655,0.57 ,0.187,0.   ]
[0.62 ,0.558,0.187,0.   ]
[0.596,0.556,0.187,0.   ]
[0.576,0.556,0.187,0.   ]
[0.569,0.569,0.187,0.   ]
[0.552,0.572,0.187,0.   ]
[0.528,0.566,0.187,0.   ]
[0.538,0.598,0.187,0.   ]
[0.528,0.607,0.187,0.   ]
[0.519,0.619,0.187,0.   ]
[0.495,0.612,0.187,0.   ]
[0.493,0.631,0.187,0.   ]
[0.488,0.647,0.187,0.   ]
[0.467,0.642,0.187,0.   ]
[0.456,0.652,0.187,0.   ]
[0.454,0.673,0.187,0.   ]
[0.467,0.719,0.187,0.   ]
[0.466,0.746,0.187,0.   ]
[0.465,0.773,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[1.048,1.971,0.187,0.   ]
[1.037,2.034,0.187,0.   ]
[1.04 ,2.132,0.187,0.   ]
[1.036,2.223,0.187,0.   ]
[1.04 ,2.336,0.187,0.   ]
[0.987,2.326,0.187,0.   ]
[0.947,2.345,0.187,0.   ]
[0.893,2.327,0.187,0.   ]
[0.846,2.325,0.187,0.   ]
[0.805,2.337,0.187,0.   ]
[0.76 ,2.338,0.187,0.   ]
[0.714,2.335,0.187,0.   ]
[0.669,2.333,0.187,0.   ]
[0.624,2.331,0.187,0.   ]
[0.583,2.34 ,0.187,0.   ]
[0.541,2.344,0.187,0.   ]
[0.497,2.339,0.187,0.   ]
[0.455,2.341,0.187,0.   ]
[0.414,2.349,0.187,0.   ]
[0.372,2.349,0.187,0.   ]
[0.327,2.325,0.187,0.   ]
[0.289,2.352,0.187,0.   ]
[0.246,2.343,0.187,0.   ]
[0.205,2.338,0.187,0.   ]
[0.135,1.928,0.187,0.   ]
[0.121,2.302,0.187,0.   ]
[0.081,2.321,0.187,0.   ]
[0.041,2.337,0.187,0.   ]
[0.   ,2.347,0.187,0.   ]
[-0.041, 2.323, 0.187, 0.   ]
[-0.082, 2.336, 0.187, 0.   ]
[-0.122, 2.337, 0.187, 0.   ]
[-0.163, 2.326, 0.187, 0.   ]
[-0.205, 2.339, 0.187, 0.   ]
[-0.244, 2.318, 0.187, 0.   ]
[-0.286, 2.33 , 0.187, 0.   ]
[-0.33 , 2.345, 0.187, 0.   ]
[-0.372, 2.349, 0.187, 0.   ]
[-0.411, 2.333, 0.187, 0.   ]
[-0.456, 2.348, 0.187, 0.   ]
[-0.494, 2.322, 0.187, 0.   ]
[-0.537, 2.325, 0.187, 0.   ]
[-0.583, 2.337, 0.187, 0.   ]
[-0.627, 2.34 , 0.187, 0.   ]
[-0.672, 2.344, 0.187, 0.   ]
[-0.717, 2.344, 0.187, 0.   ]
[-0.763, 2.348, 0.187, 0.   ]
[-0.761, 2.21 , 0.187, 0.   ]
[-0.76 , 2.088, 0.187, 0.   ]
[-0.761, 1.983, 0.187, 0.   ]
[-0.791, 1.957, 0.187, 0.   ]
[-0.989, 2.329, 0.187, 0.   ]
[-1.048, 2.354, 0.187, 0.   ]
[-1.08 , 2.317, 0.187, 0.   ]
