[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[2.072,0.072,0.187,0.   ]
[1.986,0.104,0.187,0.   ]
[1.969,0.138,0.187,0.   ]
[1.927,0.169,0.187,0.   ]
[1.924,0.202,0.187,0.   ]
[1.925,0.236,0.187,0.   ]
[1.919,0.27 ,0.187,0.   ]
[1.936,0.307,0.187,0.   ]
[1.946,0.343,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[1.348,0.387,0.187,0.   ]
[1.318,0.403,0.187,0.   ]
[1.318,0.428,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.687,0.577,0.187,0.   ]
[0.647,0.563,0.187,0.   ]
[0.618,0.557,0.187,0.   ]
[0.603,0.562,0.187,0.   ]
[0.594,0.574,0.187,0.   ]
[0.582,0.582,0.187,0.   ]
[0.553,0.573,0.187,0.   ]
[0.535,0.573,0.187,0.   ]
[0.53 ,0.589,0.187,0.   ]
[0.525,0.604,0.187,0.   ]
[0.514,0.613,0.187,0.   ]
[0.499,0.616,0.187,0.   ]
[0.5  ,0.64 ,0.187,0.   ]
[0.475,0.631,0.187,0.   ]
[0.48 ,0.661,0.187,0.   ]
[0.47 ,0.671,0.187,0.   ]
[0.469,0.695,0.187,0.   ]
[0.46 ,0.708,0.187,0.   ]
[0.463,0.741,0.187,0.   ]
[0.47 ,0.782,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[0.   ,0.   ,0.187,0.   ]
[1.043,1.961,0.187,0.   ]
[1.036,2.033,0.187,0.   ]
[1.032,2.115,0.187,0.   ]
[1.034,2.217,0.187,0.   ]
[1.042,2.341,0.187,0.   ]
[0.989,2.33 ,0.187,0.   ]
[0.947,2.344,0.187,0.   ]
[0.901,2.346,0.187,0.   ]
[0.842,2.313,0.187,0.   ]
[0.812,2.358,0.187,0.   ]
[0.761,2.341,0.187,0.   ]
[0.717,2.346,0.187,0.   ]
[0.669,2.334,0.187,0.   ]
[0.627,2.341,0.187,0.   ]
[0.583,2.34 ,0.187,0.   ]
[0.541,2.344,0.187,0.   ]
[0.501,2.355,0.187,0.   ]
[0.453,2.329,0.187,0.   ]
[0.411,2.33 ,0.187,0.   ]
[0.37 ,2.333,0.187,0.   ]
[0.328,2.335,0.187,0.   ]
[0.288,2.349,0.187,0.   ]
[0.246,2.34 ,0.187,0.   ]
[0.203,2.325,0.187,0.   ]
[0.135,1.933,0.187,0.   ]
[0.12 ,2.295,0.187,0.   ]
[0.082,2.341,0.187,0.   ]
[0.041,2.338,0.187,0.   ]
[0.   ,2.328,0.187,0.   ]
[-0.041, 2.35 , 0.187, 0.   ]
[-0.082, 2.358, 0.187, 0.   ]
[-0.122, 2.321, 0.187, 0.   ]
[-0.164, 2.344, 0.187, 0.   ]
[-0.204, 2.337, 0.187, 0.   ]
[-0.245, 2.331, 0.187, 0.   ]
[-0.286, 2.328, 0.187, 0.   ]
[-0.328, 2.333, 0.187, 0.   ]
[-0.372, 2.347, 0.187, 0.   ]
[-0.409, 2.32 , 0.187, 0.   ]
[-0.453, 2.328, 0.187, 0.   ]
[-0.494, 2.325, 0.187, 0.   ]
[-0.538, 2.33 , 0.187, 0.   ]
[-0.584, 2.342, 0.187, 0.   ]
[-0.625, 2.331, 0.187, 0.   ]
[-0.672, 2.342, 0.187, 0.   ]
[-0.722, 2.36 , 0.187, 0.   ]
[-0.76 , 2.339, 0.187, 0.   ]
[-0.761, 2.21 , 0.187, 0.   ]
[-0.755, 2.075, 0.187, 0.   ]
[-0.757, 1.973, 0.187, 0.   ]
[-0.787, 1.947, 0.187, 0.   ]
[-0.989, 2.33 , 0.187, 0.   ]
[-1.036, 2.327, 0.187, 0.   ]
